Model,Scenario,Ssp_family
DNE21+ V.ADVANCE,ADVANCE_WP2_TRA-Ctax-FullTech,
E3ME 6.1,1.5C,2
E3ME 6.1,1.5C OPEC sell-out,2
E3ME 6.1,2C,2
E3ME 6.1,2C OPEC sell-out,2
E3ME 6.1,Baseline,2
E3ME 6.1,PR_Baseline,2
E3ME 6.1,PR_CP_Intensity,2
E3ME 6.1,PR_CP_Price,2
E3ME 6.1,PR_NDC_Intensity,2
E3ME 6.1,PR_NDC_Price,2
EC-MSMR 1.0,BAU_IEO,2
EC-MSMR 1.0,BAU_WEO,2
EC-MSMR 1.0,IEO_NDC2C_ASIA,2
EC-MSMR 1.0,IEO_NDC2C_EUR_CHN,2
EC-MSMR 1.0,IEO_NDC2C_GLOBAL,2
EC-MSMR 1.0,IEO_NDC2C_PARTIAL,2
EC-MSMR 1.0,IEO_NDC2C_REF,2
EC-MSMR 1.0,IEO_NDC_ASIA,2
EC-MSMR 1.0,IEO_NDC_EUR_CHN,2
EC-MSMR 1.0,IEO_NDC_GLOBAL,2
EC-MSMR 1.0,IEO_NDC_PARTIAL,2
EC-MSMR 1.0,IEO_NDC_REF,2
EC-MSMR 1.0,IEO_NDCplus_ASIA,2
EC-MSMR 1.0,IEO_NDCplus_EUR_CHN,2
EC-MSMR 1.0,IEO_NDCplus_GLOBAL,2
EC-MSMR 1.0,IEO_NDCplus_PARTIAL,2
EC-MSMR 1.0,IEO_NDCplus_REF,2
EC-MSMR 1.0,WEO_NDC2C_ASIA,2
EC-MSMR 1.0,WEO_NDC2C_EUR_CHN,2
EC-MSMR 1.0,WEO_NDC2C_GLOBAL,2
EC-MSMR 1.0,WEO_NDC2C_PARTIAL,2
EC-MSMR 1.0,WEO_NDC2C_REF,2
EC-MSMR 1.0,WEO_NDC_ASIA,2
EC-MSMR 1.0,WEO_NDC_EUR_CHN,2
EC-MSMR 1.0,WEO_NDC_GLOBAL,2
EC-MSMR 1.0,WEO_NDC_PARTIAL,2
EC-MSMR 1.0,WEO_NDC_REF,2
EC-MSMR 1.0,WEO_NDCplus_ASIA,2
EC-MSMR 1.0,WEO_NDCplus_EUR_CHN,2
EC-MSMR 1.0,WEO_NDCplus_GLOBAL,2
EC-MSMR 1.0,WEO_NDCplus_PARTIAL,2
EC-MSMR 1.0,WEO_NDCplus_REF,2
EDGE-Buildings 1.0,SSP1,
EDGE-Buildings 1.0,SSP2,
EDGE-Buildings 1.0,SSP3,
EDGE-Buildings 1.0,SSP4,
EDGE-Buildings 1.0,SSP5,
EDGE-Buildings 2.0,Practices-low,
EDGE-Buildings 2.0,Practices-reference,
EDGE-Buildings 2.0,Practices-verylow,
EDGE-Buildings 3.0,SSP1,1
EDGE-Buildings 3.0,SSP2,2
EDGE-Buildings 3.0,SSP2_2020_0.3_All,2
EDGE-Buildings 3.0,SSP2_2020_0.3_NC,2
EDGE-Buildings 3.0,SSP2_2020_1.0_All,2
EDGE-Buildings 3.0,SSP2_2020_1.0_NC,2
EDGE-Buildings 3.0,SSP2_Ctax,2
EDGE-Buildings 3.0,SSP3,3
ENV-Linkages 3.0,EMF30_BCOC-EndU,2
ENV-Linkages 3.0,EMF30_Baseline,2
ENV-Linkages 3.0,EMF30_CH4-Only,2
ENV-Linkages 3.0,EMF30_ClimPolicy,2
ENV-Linkages 3.0,EMF30_ClimPolicy+SLCF,2
ENV-Linkages 3.0,EMF30_D_BCOC-Red,2
ENV-Linkages 3.0,EMF30_D_CH4-ClimPolicy,2
ENV-Linkages 3.0,EMF30_D_CO2-Only,2
ENV-Linkages 3.0,EMF30_D_Frozen-CH4,2
ENV-Linkages 3.0,EMF30_D_Frozen-EF,2
ENV-Linkages 3.0,EMF30_D_Frozen-EF-EndU,2
ENV-Linkages 3.0,EMF30_D_Frozen-EF-SLCF,2
ENV-Linkages 3.0,EMF30_SLCF,2
ENV-Linkages 3.0,EMF30_Slower-Action,2
ENV-Linkages 3.0,EMF30_Slower-Action+SLCF,2
ENVISAGE 10.01,BAU_IEO,2
ENVISAGE 10.01,BAU_WEO,2
ENVISAGE 10.01,IEO_NDC2C_ASIA,2
ENVISAGE 10.01,IEO_NDC2C_EUR_CHN,2
ENVISAGE 10.01,IEO_NDC2C_GLOBAL,2
ENVISAGE 10.01,IEO_NDC2C_PARTIAL,2
ENVISAGE 10.01,IEO_NDC2C_REF,2
ENVISAGE 10.01,IEO_NDC_ASIA,2
ENVISAGE 10.01,IEO_NDC_EUR_CHN,2
ENVISAGE 10.01,IEO_NDC_GLOBAL,2
ENVISAGE 10.01,IEO_NDC_PARTIAL,2
ENVISAGE 10.01,IEO_NDC_REF,2
ENVISAGE 10.01,IEO_NDCplus_ASIA,2
ENVISAGE 10.01,IEO_NDCplus_EUR_CHN,2
ENVISAGE 10.01,IEO_NDCplus_GLOBAL,2
ENVISAGE 10.01,IEO_NDCplus_PARTIAL,2
ENVISAGE 10.01,IEO_NDCplus_REF,2
ENVISAGE 10.01,WEO_NDC2C_ASIA,2
ENVISAGE 10.01,WEO_NDC2C_EUR_CHN,2
ENVISAGE 10.01,WEO_NDC2C_GLOBAL,2
ENVISAGE 10.01,WEO_NDC2C_PARTIAL,2
ENVISAGE 10.01,WEO_NDC2C_REF,2
ENVISAGE 10.01,WEO_NDC_ASIA,2
ENVISAGE 10.01,WEO_NDC_EUR_CHN,2
ENVISAGE 10.01,WEO_NDC_GLOBAL,2
ENVISAGE 10.01,WEO_NDC_PARTIAL,2
ENVISAGE 10.01,WEO_NDC_REF,2
ENVISAGE 10.01,WEO_NDCplus_ASIA,2
ENVISAGE 10.01,WEO_NDCplus_EUR_CHN,2
ENVISAGE 10.01,WEO_NDCplus_GLOBAL,2
ENVISAGE 10.01,WEO_NDCplus_PARTIAL,2
ENVISAGE 10.01,WEO_NDCplus_REF,2
EPPA 6,1.5CNow_Gradual,2
EPPA 6,1.5CNow_OptTax,2
EPPA 6,2CNow_Gradual,2
EPPA 6,2CNow_OptTax,2
EPPA 6,Paris1.5C_OptTax,2
EPPA 6,Paris2C_Gradual,2
EPPA 6,Paris2C_OptTax,2
EPPA 6,ParisFlat,2
EPPA 6,ParisForever,2
EPPA 6,Ref,2
En-ROADS-96,Ratchet-1.5-allCDR,2
En-ROADS-96,Ratchet-1.5-limCDR,2
En-ROADS-96,Reference,2
FARM 3.2,EMF33_Baseline,2
FARM 3.2,EMF33_Med2C_full,2
FARM 3.2,EMF33_Med2C_nobeccs,2
FARM 3.2,EMF33_Med2C_nofuel,2
FARM 3.2,EMF33_Med2C_none,2
FARM 3.2,EMF33_WB2C_full,2
FARM 3.2,EMF33_WB2C_nobeccs,2
FARM 3.2,EMF33_WB2C_nofuel,2
FARM 3.2,EMF33_WB2C_none,2
FARM 3.2,EMF33_tax_hi_full,2
FARM 3.2,EMF33_tax_hi_none,2
FARM 3.2,EMF33_tax_lo_full,2
FARM 3.2,EMF33_tax_lo_none,2
GAINS-dw4,ECLIPSEv6b_CLE,2
GAINS-dw4,ECLIPSEv6b_MFR,2
GCAM 4.0,20% abatement (FF&I),2
GCAM 4.0,20% abatement (GHG),2
GCAM 4.0,450 concentration,2
GCAM 4.0,50% abatement (FF&I),2
GCAM 4.0,50% abatement (GHG),2
GCAM 4.0,550 concentration,2
GCAM 4.0,650 concentration,2
GCAM 4.0,Core baseline,2
GCAM 4.0,High CO2 price,2
GCAM 4.0,Low CO2 price,2
GCAM 4.0,Policy baseline,2
GCAM 4.2,ADVANCE_2020_1.5C-2100,2
GCAM 4.2,ADVANCE_2020_Med2C,2
GCAM 4.2,ADVANCE_2020_WB2C,2
GCAM 4.2,ADVANCE_2030_1.5C-2100,2
GCAM 4.2,ADVANCE_2030_Med2C,2
GCAM 4.2,ADVANCE_2030_Price1.5C,2
GCAM 4.2,ADVANCE_2030_WB2C,2
GCAM 4.2,ADVANCE_NoPolicy,2
GCAM 4.2,EMF30_BCOC-EndU,2
GCAM 4.2,EMF30_Baseline,2
GCAM 4.2,EMF30_CH4-Only,2
GCAM 4.2,EMF30_ClimPolicy,2
GCAM 4.2,EMF30_ClimPolicy+SLCF,2
GCAM 4.2,EMF30_D_CH4-ClimPolicy,2
