No.,Variable(All),Level,Category_template,Model type,Unit,Definition,Type,Basis for Classification
935,Investment|Energy Supply|Hydrogen|Fossil,4,Investment,Energy system,billion US$2010/yr,"investments for the production of hydrogen from fossil fuels. For plants equipped with CCS, the investment in the capturing equipment should be included but not the one on transport and storage.",output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
937,Investment|Energy Supply|Hydrogen|Renewable,4,Investment,Energy system,billion US$2010/yr,"investments for the production of hydrogen from the specified source. For plants equipped with CCS, the investment in the capturing equipment should be included but not the one on transport and storage.",output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
938,Investment|Energy Supply|Liquids,3,Investment,Energy system,billion US$2010/yr,"investments for the production of liquid fuels. For plants equipped with CCS, the investment in the capturing equipment should be included but not the one on transport and storage.",output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
939,Investment|Energy Supply|Liquids|Biomass,4,Investment,Energy system,billion US$2010/yr,"investments for the production of biofuels. These should not include the costs of the feedstock. For plants equipped with CCS, the investment in the capturing equipment should be included but not the one on transport and storage.",output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
940,Investment|Energy Supply|Liquids|Coal and Gas,4,Investment,Energy system,billion US$2010/yr,"investments for the production of fossil-based synfuels (coal and gas). For plants equipped with CCS, the investment in the capturing equipment should be included but not the one on transport and storage.",output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
941,Investment|Energy Supply|Liquids|Oil,4,Investment,Energy system,billion US$2010/yr,"investments for the production of fossil fuels from oil refineries For plants equipped with CCS, the investment in the capturing equipment should be included but not the one on transport and storage.",output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
951,Lifetime|Electricity|Coal|w/o CCS,4,Techno-economic,Energy system,years,"Lifetime of a new coal power plant w/o CCS. Lifetime should be calculated by summing all vintages of a  capacity unit (e.g. (1+1+0.9+0.7+0.5) * 10 years = 41 years) or by the e-folding time for exponential capacity depreciation.  The lifetime should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report lifetime for the additional plant types by adding variables Lifetime|Electricity|Coal|w/o CCS|2, ... Lifetime|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",input,https://www.iamcdocumentation.eu/index.php/Model_inputs_-_GCAM
953,Lifetime|Electricity|Gas|w/o CCS,4,Techno-economic,Energy system,years,"Lifetime of a new gas power plant w/o CCS. Lifetime should be calculated by summing all vintages of a  capacity unit (e.g. (1+1+0.9+0.7+0.5) * 10 years = 41 years) or by the e-folding time for exponential capacity depreciation.  The lifetime should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report lifetime for the additional plant types by adding variables Lifetime|Electricity|Gas|w/o CCS|2, ... Lifetime|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",input,https://www.iamcdocumentation.eu/index.php/Model_inputs_-_GCAM
954,Lifetime|Electricity|Geothermal,3,Techno-economic,Energy system,years,"Lifetime of a new geothermal power plant. Lifetime should be calculated by summing all vintages of a  capacity unit (e.g. (1+1+0.9+0.7+0.5) * 10 years = 41 years) or by the e-folding time for exponential capacity depreciation.  The lifetime should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report lifetime for the additional plant types by adding variables Lifetime|Electricity|Geothermal|2, ... Lifetime|Electricity|Geothermal|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",input,https://www.iamcdocumentation.eu/index.php/Model_inputs_-_GCAM
955,Lifetime|Electricity|Hydro,3,Techno-economic,Energy system,years,"Lifetime of a new hydropower plant. Lifetime should be calculated by summing all vintages of a  capacity unit (e.g. (1+1+0.9+0.7+0.5) * 10 years = 41 years) or by the e-folding time for exponential capacity depreciation.  The lifetime should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report lifetime for the additional plant types by adding variables Lifetime|Electricity|Hydro|2, ... Lifetime|Electricity|Hydro|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",input,https://www.iamcdocumentation.eu/index.php/Model_inputs_-_GCAM
