No.,Variable(All),Level,Category_template,Model type,Unit,Definition,Type,Basis for Classification
783,Final Energy|Residential and Commercial|Other,3,Energy,Energy system,EJ/yr,final energy consumption by the residential & commercial sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
784,Final Energy|Residential and Commercial|Residential,3,Energy,Energy system,EJ/yr,final energy consumed in the residential sector,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
787,Final Energy|Residential and Commercial|Residential|Electricity,4,Energy,Energy system,EJ/yr,"final energy consumption by the residential sector of electricity (including on-site solar PV), excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
788,Final Energy|Residential and Commercial|Residential|Gases,4,Energy,Energy system,EJ/yr,"final energy consumption by the residential sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
798,Final Energy|Residential and Commercial|Residential|Liquids,4,Energy,Energy system,EJ/yr,"final energy consumption by the residential sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
804,Final Energy|Residential and Commercial|Solids,3,Energy,Energy system,EJ/yr,final energy solid fuel consumption by the residential & commercial sector (including coal and solid biomass),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
805,Final Energy|Residential and Commercial|Solids|Biomass,4,Energy,Energy system,EJ/yr,final energy consumption by the residential & commercial sector of solid biomass (modern and traditional),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
806,Final Energy|Residential and Commercial|Solids|Biomass|Traditional,5,Energy,Energy system,EJ/yr,final energy consumed in the residential & commercial sector coming from biomass (traditional),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
807,Final Energy|Residential and Commercial|Solids|Coal,4,Energy,Energy system,EJ/yr,final energy coal consumption by the residential & commercial sector,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
809,Final Energy|Solar,2,Energy,Energy system,PJ/yr,"final energy consumption of solar energy (e.g., from roof-top solar hot water collector systems)",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
810,Final Energy|Solids,2,Energy,Energy system,EJ/yr,final energy solid fuel consumption (including coal and solid biomass),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
811,Final Energy|Solids|Biomass,3,Energy,Energy system,EJ/yr,"final energy consumption of solid biomass (modern and traditional), excluding final energy consumption of bioliquids which are reported in the liquids category",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
812,Final Energy|Solids|Biomass|Traditional,4,Energy,Energy system,EJ/yr,final energy consumption of traditional biomass,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
813,Final Energy|Solids|Coal,3,Energy,Energy system,PJ/yr,final energy coal consumption,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
814,Final Energy|Transportation,2,Energy,Energy system,PJ/yr,"final energy consumed in the transportation sector, including bunker fuels, excluding pipelines",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
818,Final Energy|Transportation|Electricity,3,Energy,Energy system,EJ/yr,"final energy consumption by the transportation sector of electricity (including on-site solar PV), excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
819,Final Energy|Transportation|Freight,3,Energy,Energy system,EJ/yr,final energy consumed for freight transportation,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
825,Final Energy|Transportation|Freight|Liquids,4,Energy,Energy system,PJ/yr,"final energy consumption by the freight transportation sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
826,Final Energy|Transportation|Freight|Liquids|Bioenergy,5,Energy,Energy system,EJ/yr,Final biofuels based (liquid or gas) energy consumed in the transport sector by freight vehicles,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
829,Final Energy|Transportation|Freight|Liquids|Oil,5,Energy,Energy system,EJ/yr,final energy consumption by the freight transportation sector of liquid oil products (from conventional & unconventional oil),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
831,Final Energy|Transportation|Gases,3,Energy,Energy system,EJ/yr,"final energy consumption by the transportation sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
834,Final Energy|Transportation|Hydrogen,3,Energy,Energy system,EJ/yr,final energy consumption by the transportation sector of hydrogen,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
835,Final Energy|Transportation|Liquids,3,Energy,Energy system,EJ/yr,"final energy consumption by the transportation sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
836,Final Energy|Transportation|Liquids|Bioenergy,4,Energy,Energy system,EJ/yr,Final biofuels based (liquid or gas) energy consumed in the transport sector by passenger and freight vehicles,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
838,Final Energy|Transportation|Liquids|Coal,4,Energy,Energy system,EJ/yr,final energy consumption by the transportation sector of coal based liquids (coal-to-liquids),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
841,Final Energy|Transportation|Liquids|Oil,4,Energy,Energy system,EJ/yr,final energy consumption by the transportation sector of liquid oil products (from conventional & unconventional oil),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
843,Final Energy|Transportation|Other,3,Energy,Energy system,EJ/yr,final energy consumption by the transportation sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
844,Final Energy|Transportation|Passenger,3,Energy,Energy system,EJ/yr,final energy consumed for passenger transportation,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
845,Final Energy|Transportation|Passenger|Electricity,4,Energy,Energy system,PJ/yr,"final energy consumption by the passenger transportation sector of electricity (including on-site solar PV), excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
850,Final Energy|Transportation|Passenger|Hydrogen,4,Energy,Energy system,PJ/yr,final energy consumption by the passenger transportation sector of hydrogen,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
851,Final Energy|Transportation|Passenger|Liquids,4,Energy,Energy system,PJ/yr,"final energy consumption by the passenger transportation sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
852,Final Energy|Transportation|Passenger|Liquids|Bioenergy,5,Energy,Energy system,EJ/yr,Final biofuels based (liquid or gas) energy consumed in the transport sector by passenger vehicles,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
855,Final Energy|Transportation|Passenger|Liquids|Oil,5,Energy,Energy system,EJ/yr,final energy consumption by the passenger transportation sector of liquid oil products (from conventional & unconventional oil),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1031,Policy Cost|Additional Total Energy System Cost,2,Economy,Energy system,billion US$2010/yr,additional energy system cost associated with the policy,output,https://jgcri.github.io/gcam-doc/policies.html#policy-costs
1033,Policy Cost|Consumption Loss,2,Economy,Energy system,billion US$2010/yr,consumption loss in a policy scenario compared to the corresponding baseline (losses should be reported as negative numbers),output,https://jgcri.github.io/gcam-doc/policies.html#policy-costs
1036,Policy Cost|GDP Loss,2,Economy,Energy system,billion US$2010/yr,"GDP loss in a policy scenario, including international transfers, compared to the corresponding baseline (losses should be reported as negative numbers). Transfers included if present; if no transfer, report same value as ""w/o transfers""",output,https://jgcri.github.io/gcam-doc/policies.html#policy-costs
1096,Primary Energy,1,Energy,Energy system,EJ/yr,total primary energy consumption (direct equivalent),output,Energy Consumption
1097,Primary Energy|Biomass,2,Energy,Energy system,PJ/yr,"primary energy consumption of purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass",output,Energy Consumption
1098,Primary Energy|Biomass|1st Generation,3,Energy,Energy system,EJ/yr,"biomass primary energy from 1st generation biofuel crops (e.g., sugar cane, rapeseed oil, maize, sugar beet)",output,Energy Consumption
1099,Primary Energy|Biomass|Electricity,3,Energy,Energy system,EJ/yr,"primary energy input to electricity generation of purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass",output,Energy Consumption
1100,Primary Energy|Biomass|Electricity|w/ CCS,4,Energy,Energy system,EJ/yr,"purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass primary energy input to electricity generation used in combination with CCS",output,Energy Consumption
1101,Primary Energy|Biomass|Electricity|w/o CCS,4,Energy,Energy system,EJ/yr,"purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass primary energy input to electricity generation without CCS",output,Energy Consumption
1102,Primary Energy|Biomass|Energy Crops,3,Energy,Energy system,EJ/yr,biomass primary energy from purpose-grown bioenergy crops,output,Energy Consumption
1104,Primary Energy|Biomass|Hydrogen,3,Energy,Energy system,EJ/yr,primary energy input to the fuel conversion sector,output,Energy Consumption
1105,Primary Energy|Biomass|Liquids,3,Energy,Energy system,EJ/yr,primary energy input to the fuel conversion sector,output,Energy Consumption
1106,Primary Energy|Biomass|Modern,3,Energy,Energy system,EJ/yr,"modern biomass primary energy consumption, including purpose-grown bioenergy crops, crop and forestry residue bioenergy and municipal solid waste bioenergy",output,Energy Consumption
1107,Primary Energy|Biomass|Modern|w/ CCS,4,Energy,Energy system,EJ/yr,"purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass primary energy consumption used in combination with CCS",output,Energy Consumption
1108,Primary Energy|Biomass|Modern|w/o CCS,4,Energy,Energy system,EJ/yr,"purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass primary energy consumption without CCS",output,Energy Consumption
1109,Primary Energy|Biomass|Residues,3,Energy,Energy system,EJ/yr,biomass primary energy from residues,output,Energy Consumption
1110,Primary Energy|Biomass|Solids,3,Energy,Energy system,EJ/yr,primary energy input to the fuel conversion sector,output,Energy Consumption
1111,Primary Energy|Biomass|Traditional,3,Energy,Energy system,EJ/yr,traditional biomass primary energy consumption,output,Energy Consumption
1112,Primary Energy|Coal,2,Energy,Energy system,PJ/yr,coal primary energy consumption,output,Energy Consumption
1113,Primary Energy|Coal|Electricity,3,Energy,Energy system,EJ/yr,coal primary energy input to electricity generation,output,Energy Consumption
1114,Primary Energy|Coal|Electricity|w/ CCS,4,Energy,Energy system,EJ/yr,coal primary energy input to electricity generation used in combination with CCS,output,Energy Consumption
1115,Primary Energy|Coal|Electricity|w/o CCS,4,Energy,Energy system,EJ/yr,coal primary energy input to electricity generation without CCS,output,Energy Consumption
1117,Primary Energy|Coal|Hydrogen,3,Energy,Energy system,EJ/yr,primary energy input to the fuel conversion sector,output,Energy Consumption
1120,Primary Energy|Coal|w/ CCS,3,Energy,Energy system,EJ/yr,coal primary energy consumption used in combination with CCS,output,Energy Consumption
1121,Primary Energy|Coal|w/o CCS,3,Energy,Energy system,EJ/yr,coal primary energy consumption without CCS,output,Energy Consumption
1122,Primary Energy|Fossil,2,Energy,Energy system,EJ/yr,"coal, gas, conventional and unconventional oil primary energy consumption",output,Energy Consumption
1123,Primary Energy|Fossil|w/ CCS,3,Energy,Energy system,EJ/yr,"coal, gas, conventional and unconventional oil primary energy consumption used in combination with CCS",output,Energy Consumption
1124,Primary Energy|Fossil|w/o CCS,3,Energy,Energy system,EJ/yr,"coal, gas, conventional and unconventional oil primary energy consumption without CCS",output,Energy Consumption
1125,Primary Energy|Gas,2,Energy,Energy system,PJ/yr,gas primary energy consumption,output,Energy Consumption
1126,Primary Energy|Gas|Electricity,3,Energy,Energy system,EJ/yr,gas primary energy input to electricity generation,output,Energy Consumption
1127,Primary Energy|Gas|Electricity|w/ CCS,4,Energy,Energy system,EJ/yr,gas primary energy input to electricity generation used in combination with CCS,output,Energy Consumption
1128,Primary Energy|Gas|Electricity|w/o CCS,4,Energy,Energy system,EJ/yr,gas primary energy input to electricity generation without CCS,output,Energy Consumption
1130,Primary Energy|Gas|Hydrogen,3,Energy,Energy system,EJ/yr,primary energy input to the fuel conversion sector,output,Energy Consumption
1133,Primary Energy|Gas|w/ CCS,3,Energy,Energy system,EJ/yr,gas primary energy consumption used in combination with CCS,output,Energy Consumption
1134,Primary Energy|Gas|w/o CCS,3,Energy,Energy system,EJ/yr,gas primary energy consumption without CCS,output,Energy Consumption
1135,Primary Energy|Geothermal,2,Energy,Energy system,EJ/yr,total geothermal primary energy consumption,output,Energy Consumption
1136,Primary Energy|Hydro,2,Energy,Energy system,EJ/yr,total hydro primary energy consumption,output,Energy Consumption
1137,Primary Energy|Non-Biomass Renewables,2,Energy,Energy system,EJ/yr,"non-biomass renewable primary energy consumption (direct equivalent, includes hydro electricity, wind electricity, geothermal electricity and heat, solar electricity and heat and hydrogen, ocean energy)",output,Energy Consumption
1143,Primary Energy|Nuclear,2,Energy,Energy system,EJ/yr,"nuclear primary energy consumption (direct equivalent, includes electricity, heat and hydrogen production from nuclear energy)",output,Energy Consumption
1145,Primary Energy|Oil,2,Energy,Energy system,PJ/yr,conventional & unconventional oil primary energy consumption,output,Energy Consumption
1146,Primary Energy|Oil|Electricity,3,Energy,Energy system,EJ/yr,conventional & unconventional oil primary energy input to electricity generation,output,Energy Consumption
1147,Primary Energy|Oil|Electricity|w/ CCS,4,Energy,Energy system,EJ/yr,conventional & unconventional oil primary energy input to electricity generation used in combination with CCS,output,Energy Consumption
1148,Primary Energy|Oil|Electricity|w/o CCS,4,Energy,Energy system,EJ/yr,conventional & unconventional oil primary energy input to electricity generation without CCS,output,Energy Consumption
1153,Primary Energy|Oil|w/ CCS,3,Energy,Energy system,EJ/yr,conventional & unconventional oil primary energy consumption used in combination with CCS,output,Energy Consumption
1154,Primary Energy|Oil|w/o CCS,3,Energy,Energy system,EJ/yr,conventional & unconventional oil primary energy consumption without CCS,output,Energy Consumption
1155,Primary Energy|Other,2,Energy,Energy system,EJ/yr,total other primary energy consumption,output,Energy Consumption
1157,Primary Energy|Secondary Energy Trade,2,Energy,Energy system,EJ/yr,"trade in secondary energy carriers that cannot be unambiguoulsy mapped to one of the existing primary energy categories (e.g. electricity, hydrogen, fossil synfuels, negative means net exports)",output,Energy Consumption
1158,Primary Energy|Solar,2,Energy,Energy system,EJ/yr,total solar primary energy consumption,output,Energy Consumption
1159,Primary Energy|Wind,2,Energy,Energy system,PJ/yr,total wind primary energy consumption,output,Energy Consumption
1172,Secondary Energy,1,Energy,Energy system,EJ/yr,total secondary energy - the sum of all secondary energy carrier production (for consistency checks),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1173,Secondary Energy|Electricity,2,Energy,Energy system,PJ/yr,total net electricity production,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1174,Secondary Energy|Electricity|Biomass,3,Energy,Energy system,PJ/yr,"net electricity production from municipal solid waste, purpose-grown biomass, crop residues, forest industry waste, biogas",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1175,Secondary Energy|Electricity|Biomass|w/ CCS,4,Energy,Energy system,EJ/yr,"net electricity production from municipal solid waste, purpose-grown biomass, crop residues, forest industry waste with a CO2 capture component",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1176,Secondary Energy|Electricity|Biomass|w/o CCS,4,Energy,Energy system,EJ/yr,"net electricity production from municipal solid waste, purpose-grown biomass, crop residues, forest industry waste with freely vented CO2 emissions",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1177,Secondary Energy|Electricity|Coal,3,Energy,Energy system,PJ/yr,net electricity production from coal,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1178,Secondary Energy|Electricity|Coal|w/ CCS,4,Energy,Energy system,EJ/yr,net electricity production from coal with a CO2 capture component,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1179,Secondary Energy|Electricity|Coal|w/o CCS,4,Energy,Energy system,EJ/yr,net electricity production from coal with freely vented CO2 emissions,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1181,Secondary Energy|Electricity|Fossil,3,Energy,Energy system,EJ/yr,"net electricity production from coal, gas, conventional and unconventional oil",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1182,Secondary Energy|Electricity|Fossil|w/ CCS,4,Energy,Energy system,EJ/yr,"net electricity production from coal, gas, conventional and unconventional oil used in combination with CCS",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1183,Secondary Energy|Electricity|Fossil|w/o CCS,4,Energy,Energy system,EJ/yr,"net electricity production from coal, gas, conventional and unconventional oil without CCS",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1184,Secondary Energy|Electricity|Gas,3,Energy,Energy system,PJ/yr,net electricity production from natural gas,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1185,Secondary Energy|Electricity|Gas|w/ CCS,4,Energy,Energy system,EJ/yr,net electricity production from natural gas with a CO2 capture component,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1186,Secondary Energy|Electricity|Gas|w/o CCS,4,Energy,Energy system,EJ/yr,net electricity production from natural gas with freely vented CO2 emissions,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1187,Secondary Energy|Electricity|Geothermal,3,Energy,Energy system,EJ/yr,"net electricity production from all sources of geothermal energy (e.g., hydrothermal, enhanced geothermal systems)",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1188,Secondary Energy|Electricity|Hydro,3,Energy,Energy system,PJ/yr,net hydroelectric production,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1189,Secondary Energy|Electricity|Non-Biomass Renewables,3,Energy,Energy system,EJ/yr,"net electricity production from hydro, wind, solar, geothermal, ocean, and other renewable sources (excluding bioenergy). This is a summary category for all the non-biomass renewables.",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1190,Secondary Energy|Electricity|Nuclear,3,Energy,Energy system,PJ/yr,net electricity production from nuclear energy,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1192,Secondary Energy|Electricity|Oil,3,Energy,Energy system,EJ/yr,net electricity production from refined liquid oil products,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1193,Secondary Energy|Electricity|Oil|w/ CCS,4,Energy,Energy system,EJ/yr,net electricity production from refined liquids with a CO2 capture component,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1194,Secondary Energy|Electricity|Oil|w/o CCS,4,Energy,Energy system,EJ/yr,net electricity production from refined liquids with freely vented CO2 emissions,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1195,Secondary Energy|Electricity|Other,3,Energy,Energy system,EJ/yr,net electricity production from sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1197,Secondary Energy|Electricity|Solar,3,Energy,Energy system,EJ/yr,"net electricity production from all sources of solar energy (e.g., PV and concentrating solar power)",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1198,Secondary Energy|Electricity|Solar|CSP,4,Energy,Energy system,EJ/yr,net electricity production from concentrating solar power (CSP),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1199,Secondary Energy|Electricity|Solar|PV,4,Energy,Energy system,PJ/yr,net electricity production from solar photovoltaics (PV),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1204,Secondary Energy|Electricity|Wind,3,Energy,Energy system,PJ/yr,net electricity production from wind energy (on- and offshore),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1205,Secondary Energy|Electricity|Wind|Offshore,4,Energy,Energy system,PJ/yr,net electricity production from offshore wind energy,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1206,Secondary Energy|Electricity|Wind|Onshore,4,Energy,Energy system,PJ/yr,net electricity production from onshore wind energy,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1207,Secondary Energy|Gases,2,Energy,Energy system,EJ/yr,"total production of gaseous fuels, including natural gas",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1208,Secondary Energy|Gases|Biomass,3,Energy,Energy system,EJ/yr,total production of biogas,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1209,Secondary Energy|Gases|Coal,3,Energy,Energy system,EJ/yr,total production of coal gas from coal gasification,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1210,Secondary Energy|Gases|Natural Gas,3,Energy,Energy system,EJ/yr,total production of natural gas,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1212,Secondary Energy|Heat,2,Energy,Energy system,EJ/yr,total centralized heat generation,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1213,Secondary Energy|Heat|Biomass,3,Energy,Energy system,EJ/yr,centralized heat generation from biomass,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1214,Secondary Energy|Heat|Coal,3,Energy,Energy system,EJ/yr,centralized heat generation from coal,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1216,Secondary Energy|Heat|Gas,3,Energy,Energy system,EJ/yr,centralized heat generation from gases,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1217,Secondary Energy|Heat|Geothermal,3,Energy,Energy system,EJ/yr,centralized heat generation from geothermal energy EXCLUDING geothermal heat pumps,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1224,Secondary Energy|Hydrogen,2,Energy,Energy system,EJ/yr,total hydrogen production,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1225,Secondary Energy|Hydrogen|Biomass,3,Energy,Energy system,EJ/yr,hydrogen production from biomass,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1226,Secondary Energy|Hydrogen|Biomass|w/ CCS,4,Energy,Energy system,EJ/yr,hydrogen production from biomass with a CO2 capture component,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1227,Secondary Energy|Hydrogen|Biomass|w/o CCS,4,Energy,Energy system,EJ/yr,hydrogen production from biomass with freely vented CO2 emissions,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1228,Secondary Energy|Hydrogen|Coal,3,Energy,Energy system,EJ/yr,hydrogen production from coal,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1229,Secondary Energy|Hydrogen|Coal|w/ CCS,4,Energy,Energy system,EJ/yr,hydrogen production from coal with a CO2 capture component,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1230,Secondary Energy|Hydrogen|Coal|w/o CCS,4,Energy,Energy system,EJ/yr,hydrogen production from coal with freely vented CO2 emissions,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1231,Secondary Energy|Hydrogen|Electricity,3,Energy,Energy system,EJ/yr,hydrogen production from electricity via electrolysis,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1232,Secondary Energy|Hydrogen|Fossil,3,Energy,Energy system,EJ/yr,hydrogen production from fossil fuels,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1233,Secondary Energy|Hydrogen|Fossil|w/ CCS,4,Energy,Energy system,EJ/yr,hydrogen production from fossil fuels with a CO2 capture component,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1234,Secondary Energy|Hydrogen|Fossil|w/o CCS,4,Energy,Energy system,EJ/yr,hydrogen production from fossil fuels with freely vented CO2 emissions,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1235,Secondary Energy|Hydrogen|Gas,3,Energy,Energy system,EJ/yr,hydrogen production from gas,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1236,Secondary Energy|Hydrogen|Gas|w/ CCS,4,Energy,Energy system,EJ/yr,hydrogen production from natural gas with a CO2 capture component,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1237,Secondary Energy|Hydrogen|Gas|w/o CCS,4,Energy,Energy system,EJ/yr,hydrogen production from natural gas with freely vented CO2 emissions,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1244,Secondary Energy|Liquids,2,Energy,Energy system,EJ/yr,"total production of refined liquid fuels from all energy sources (incl. oil products, synthetic fossil fuels from gas and coal, biofuels)",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1245,Secondary Energy|Liquids|Biomass,3,Energy,Energy system,EJ/yr,total liquid biofuels production,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1246,Secondary Energy|Liquids|Biomass|1st Generation,4,Energy,Energy system,EJ/yr,"liquid biofuels production from 1st generation technologies, relying on e.g. corn, sugar, oil ",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1247,Secondary Energy|Liquids|Biomass|Energy Crops,4,Energy,Energy system,EJ/yr,liquid biofuels production from energy crops,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1250,Secondary Energy|Liquids|Biomass|w/ CCS,4,Energy,Energy system,EJ/yr,total liquid biofuels production with CCS,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1251,Secondary Energy|Liquids|Biomass|w/o CCS,4,Energy,Energy system,EJ/yr,total liquid biofuels production without CCS,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1252,Secondary Energy|Liquids|Coal,3,Energy,Energy system,EJ/yr,total production of fossil liquid synfuels from coal-to-liquids (CTL) technologies,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1253,Secondary Energy|Liquids|Coal|w/ CCS,4,Energy,Energy system,EJ/yr,total production of fossil liquid synfuels from coal-to-liquids (CTL) technologies with CCS,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1254,Secondary Energy|Liquids|Coal|w/o CCS,4,Energy,Energy system,EJ/yr,total production of fossil liquid synfuels from coal-to-liquids (CTL) technologies without CCS,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1255,Secondary Energy|Liquids|Fossil,3,Energy,Energy system,EJ/yr,total production of fossil liquid synfuels,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1256,Secondary Energy|Liquids|Fossil|w/ CCS,4,Energy,Energy system,EJ/yr,total production of fossil liquid synfuels from facilities with CCS,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1257,Secondary Energy|Liquids|Fossil|w/o CCS,4,Energy,Energy system,EJ/yr,total production of fossil liquid synfuels from facilities without CCS,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1258,Secondary Energy|Liquids|Gas,3,Energy,Energy system,EJ/yr,total production of fossil liquid synfuels from gas-to-liquids (GTL) technologies,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1259,Secondary Energy|Liquids|Gas|w/ CCS,4,Energy,Energy system,EJ/yr,total production of fossil liquid synfuels from gas-to-liquids (GTL) technologies with CCS,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
1260,Secondary Energy|Liquids|Gas|w/o CCS,4,Energy,Energy system,EJ/yr,total production of fossil liquid synfuels from gas-to-liquids (GTL) technologies without CCS,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
